V [50%]   |   M 105.28M (11.43%)   |   /H 5543.90M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .62   |   T 56°C   |   mar, 03 NOV 21:01
V [50%]   |   M 108.93M (11.83%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .46   |   T 53°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.41M (11.88%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .46   |   T 50°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.12M (11.85%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .50   |   T 51°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.40M (11.88%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .50   |   T 51°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.45M (11.89%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .50   |   T 51°C   |   mar, 03 NOV 21:03
V [50%]   |   M 108.91M (11.83%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .50   |   T 49°C   |   mar, 03 NOV 21:03
V [50%]   |   M 108.91M (11.83%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .50   |   T 50°C   |   mar, 03 NOV 21:03
V [50%]   |   M 108.94M (11.83%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .50   |   T 50°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.14M (11.85%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .50   |   T 53°C   |   mar, 03 NOV 21:03
V [50%]   |   M 108.97M (11.83%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .46   |   T 50°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.44M (11.89%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .46   |   T 49°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.19M (11.86%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .46   |   T 53°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.20M (11.86%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .46   |   T 53°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.12M (11.85%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .46   |   T 50°C   |   mar, 03 NOV 21:03
V [50%]   |   M 108.83M (11.82%)   |   /H 5543.87M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .46   |   T 49°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.40M (11.88%)   |   /H 5543.87M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .46   |   T 52°C   |   mar, 03 NOV 21:03
V [50%]   |   M 108.83M (11.82%)   |   /H 5543.87M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .42   |   T 52°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.10M (11.85%)   |   /H 5543.87M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .42   |   T 50°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.17M (11.86%)   |   /H 5543.87M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .42   |   T 49°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.15M (11.85%)   |   /H 5543.87M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .42   |   T 50°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.21M (11.86%)   |   /H 5543.87M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .42   |   T 50°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.21M (11.86%)   |   /H 5543.87M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .42   |   T 53°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.17M (11.86%)   |   /H 5543.87M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .71   |   T 51°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.41M (11.88%)   |   /H 5543.87M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .71   |   T 50°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.19M (11.86%)   |   /H 5543.87M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .71   |   T 52°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.49M (11.89%)   |   /H 5543.87M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .71   |   T 52°C   |   mar, 03 NOV 21:03
V [50%]   |   M 108.85M (11.82%)   |   /H 5543.87M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .71   |   T 51°C   |   mar, 03 NOV 21:03
